date,player,bet,win,x,game,provider,videoUrl,thumb,tags
19.07.2024,Robin,"0,40€","389,20 €","973,0",Starlight Princess 1000,Pragmatic Play,
24.09.2024,Moses,"0,20€","157,60 €","788,0",Starlight Princess 1000,Pragmatic Play,
13.05.2025,Moses,"0,60€","120,84 €","201,4",Starlight Princess 1000,Hacksaw Gaming,
11.03.2025,Moses,"0,40€","104,57 €","261,4",Slayers Inc,Hacksaw Gaming,
19.03.2025,Moses,"0,40€","104,04 €","260,1",Slayers Inc,Hacksaw Gaming,
17.11.2024,Moses,"0,20€","103,78 €","518,9",Slayers Inc,Hacksaw Gaming,
23.09.2024,Moses,"0,40€","760,08 €","1900,2",Skyship Raiders ,Twist Gaming,
12.09.2024,Planki,"1,50€","1.193,10 €","795,4",Sky Bounty,Pragmatic Play,https://fkivsk.hrqhregkxq.net/jMEfN9Ood7,assets/img/skyb.avif
03.02.2024,Moses,"0,25€","1.018,00 €","4072,0",Sky Bounty,Pragmatic Play,
30.08.2024,Planki,"0,25€","250,00 €","1000,0",Sky Bounty,Pragmatic Play,https://fkivsk.hrqhregkxq.net/JqN5kpKF7f,assets/img/skyb.avif
10.05.2024,Moses,"0,25€","199,24 €","797,0",Sky Bounty,Pragmatic Play,
08.12.2024,Moses,"0,12€","132,48 €","1104,0",Skate or Die,Nolimit City,
16.04.2025,Moses,"1,00€","2.500,00 €","2500,0",Six Six Six,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","100,00 €","100,0",Six Six Six,Hacksaw Gaming,
08.12.2024,Moses,"0,80€","128,80 €","161,0",Shaolin Master,Hacksaw Gaming,
25.03.2024,Robin,"0,20€","144,90 €","724,5",Serial,Nolimit City,
08.04.2025,Robin,"1,20€","558,72 €","465,6",Santas Wonderland,Pragmatic Play,https://www.pplink.social/KqHAoetZup,assets/img/santa.avif
13.04.2025,Moses,"0,20€","1.127,12 €","5635,6",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,05€","884,54 €","17690,8",San Quentin 2,Nolimit City,
16.04.2025,Moses,"0,20€","640,18 €","3200,9",San Quentin 2,Nolimit City,
27.03.2025,Moses,"0,10€","537,56 €","5375,6",San Quentin 2,Nolimit City,
08.04.2025,Robin,"0,20€","510,09 €","2550,5",San Quentin 2,Nolimit City,
27.09.2024,Moses,"0,20€","448,36 €","2241,8",San Quentin 2,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudurikobahemenusubuzuniniwani?device=desktop&lan,assets/img/sq2.avif
30.12.2024,Robin,"0,02€","346,86 €",17343,San Quentin 2,Nolimit City,
10.12.2024,Moses,"0,06€","307,87 €","5131,2",San Quentin 2,Nolimit City,
04.09.2025,Alex,"0,20€","301,20 €","1506,0",San Quentin 2,Nolimit City,
04.11.2024,Moses,"0,20€","285,67 €","1428,4",San Quentin 2,Nolimit City,
28.03.2025,Robin,"0,06€","278,69 €","4644,8",San Quentin 2,Nolimit City,
08.12.2024,Moses,"0,20€","265,86 €","1329,3",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","262,51 €","2625,1",San Quentin 2,Nolimit City,
14.03.2025,Moses,"0,06€","232,46 €","3874,3",San Quentin 2,Nolimit City,
08.12.2024,Moses,"0,20€","203,76 €","1018,8",San Quentin 2,Nolimit City,
05.11.2024,Moses,"0,20€","198,60 €","993,0",San Quentin 2,Nolimit City,
15.03.2025,Moses,"0,02€","146,09 €","7304,5",San Quentin 2,Nolimit City,
19.04.2025,Robin,"0,06€","134,26 €","2237,7",San Quentin 2,Nolimit City,
28.09.2024,Planki,"0,20€","128,04 €","640,2",San Quentin 2,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuduranizorametohuzumiamaumi?device=desktop&langu,assets/img/sq2.avif
13.04.2025,Moses,"0,20€","113,59 €","568,0",San Quentin 2,Nolimit City,
11.09.2025,Moses,"0,06€","112,03 €","1867,2",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","110,03 €","1100,3",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","106,03 €","1060,3",San Quentin 2,Nolimit City,
15.03.2025,Moses,"0,02€","288,52 €","14426,0",San Quentin ,Nolimit City,
05.11.2024,Moses,"0,20€","503,69 €","2518,5",San Quentin,Nolimit City,
29.01.2024,Moses,"0,40€","149,88 €","374,7",San Quentin,Nolimit City,
19.04.2025,Robin,"0,06€","141,57 €","2359,5",San Quentin,Nolimit City,
02.10.2024,Robin,"0,20€","122,07 €","610,4",San Quentin,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuduyugodeyuseoibosegayoruge?device=desktop&language=en&replayId=zohugahaponiraheyakumuduyugodeyuseoibosegayoruge,assets/img/sq.avif
08.12.2024,Moses,"0,80€","132,72 €","165,9",Rusty & Curly,Hacksaw Gaming,
10.12.2024,Moses,"0,10€","110,26 €","1102,6",Royal Potato 2,Relax Gaming,
19.04.2025,Moses,"1,20€","483,60 €","403,0",Rotten,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","234,56 €","586,4",Rotten,Hacksaw Gaming,
12.09.2025,Moses,"0,60€","212,34 €","353,9",Rotten,Hacksaw Gaming,
19.04.2025,Moses,"0,40€","1.221,30 €","3053,3",Roosters Revenge,Massive Studios,
06.09.2024,Robin,"0,20€","388,60 €","1943,0",Roosters Revenge,Massive Studios,
02.09.2024,Moses,"0,20€","349,80 €","1749,0",Roosters Revenge,Massive Studios,
23.09.2024,Moses,"0,40€","176,48 €","441,2",Roosters Revenge,Massive Studios,
15.03.2025,Moses,"0,20€","146,05 €","730,3",Roosters Revenge,Massive Studios,
08.12.2024,Moses,"0,40€","155,38 €","388,5",Road Rage,Nolimit City,
13.04.2025,Moses,"1,00€","700,00 €","700,0",Rip City,Hacksaw Gaming,
13.11.2024,Jonas,"0,20€","196,54 €","982,7",Rip City,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","120,00 €","300,0",Rip City,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","325,00 €","325,0",Retro Tapes,Push Gaming,
13.04.2025,Moses,"0,20€","208,49 €","1042,5",Retro Tapes,Push Gaming,
30.10.2024,Robin,"0,10€","204,00 €","2040,0",Retro Tapes,Push Gaming,
30.10.2024,Robin,"0,10€","485,60 €","4856,0",Retro Sweets,Push Gaming,
12.03.2025,Moses,"1,00€","446,40 €","446,4",Retro Sweets,Push Gaming,
15.11.2024,Planki,"0,20€","180,00 €","900,0",Retro Sweets,Push Gaming,
17.09.2024,Robin,"0,10€","175,20 €","1752,0",Retro Sweets,Push Gaming,
12.03.2025,Moses,"1,00€","150,46 €","150,5",Retro Sweets,Push Gaming,
10.12.2024,Moses,"0,30€","141,90 €","473,0",Retro Sweets,Push Gaming,
13.09.2024,Planki,"0,40€","266,29 €","665,7",Remember the Gulag,Nolimit City,
04.11.2024,Moses,"0,20€","103,74 €","518,7",Remember the Gulag,Nolimit City,
08.09.2024,Moses,"0,20€","101,54 €","507,7",Remember the Gulag,Nolimit City,
13.04.2025,Moses,"0,10€","477,33 €","4773,3",Razor Returns,Push Gaming,
10.12.2024,Moses,"0,10€","314,48 €","3144,8",Razor Returns,Push Gaming,
06.11.2024,Moses,"0,10€","190,86 €","1908,6",Razor Returns,Push Gaming,
08.12.2024,Moses,"0,10€","160,98 €","1609,8",Razor Returns,Push Gaming,
08.12.2024,Moses,"0,10€","845,30 €","8453,0",Punk Rocker 2 ,Nolimit City,
08.12.2024,Moses,"0,06€","844,01 €","14158,0",Punk Rocker 2 ,Nolimit City,
16.07.2024,Robin,"0,20€","250,36 €","1251,8",Punk Rocker 2 ,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudehehoseneezegadudokasudutu?device=desktop&language=de,assets/img/pr2.avif
05.02.2025,Robin,"0,02€","231,24 €",11562,Punk Rocker 2 ,Nolimit City,
04.11.2024,Moses,"0,20€","214,61 €","1073,1",Punk Rocker 2 ,Nolimit City,
11.09.2025,Moses,"0,06€","174,85 €","2914,2",Punk Rocker 2 ,Nolimit City,
10.12.2024,Moses,"0,80€","145,80 €","182,3",Punk Rocker 2 ,Nolimit City,
16.07.2024,Robin,"0,20€","106,79 €","534,0",Punk Rocker 2 ,Nolimit City,
05.11.2024,Moses,"0,20€","205,54 €","1027,7",Pug Life,Hacksaw Gaming,
05.11.2024,Moses,"0,20€","198,32 €","991,6",Pug Life,Hacksaw Gaming,
10.12.2024,Moses,"0,20€","153,90 €","769,5",Pug Life,Hacksaw Gaming,
11.09.2025,Moses,"0,80€","112,16 €","140,2",Pug Life,Hacksaw Gaming,
31.05.2025,Planki,"0,20€","187,46 €","938,2",Pray for Three,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12005626044133&partner=2942&language=de-de&channel=desktop,assets/img/pf3.avif
14.09.2025,Planki,"0,20€","233,22 €","1166,1",Pompeii Megareels Megaways,Pragmatic Play,https://www.pplink.social/A5tnZwVRsX,assets/img/ppii.avif
09.09.2024,Planki,"0,30€","270,00 €","900,0",Pizza! Pizza? Pizza!,Pragmatic Play,https://fkivsk.hrqhregkxq.net/ZAkqccxLgo,assets/img/ppp.avif
14.09.2025,Moses,"1,00€","108,76€","108,76",Pixel Castle,Twist Gaming,
26.04.2025,Moses,"0,60€","208,20 €","347,0",Pixel Cafe,Twist Gaming,
13.09.2024,Planki,"0,60€","705,00 €","1175,0",Pirots 3,Elk Studios,
12.07.2024,Robin,"0,40€","478,40 €","1196,0",Pirots 2,Elk Studios,
13.05.2025,Moses,"1,00€","153,23 €","153,2",Pepperonis Pizza Plaza,,
10.12.2024,Moses,"0,06€","2.292,69 €","38211,5",Pearl Harbor,Nolimit City,
06.11.2024,Moses,"0,20€","155,60 €","778,0",Pearl Harbor,Nolimit City,
27.01.2025,Moses,"0,20€","437,12 €","2185,6",Outsourced,Nolimit City,
24.09.2024,Moses,"0,20€","170,60 €","853,0",Outsourced,Nolimit City,
19.04.2025,Moses,"1,20€","155,86 €","129,9",Outsourced,Nolimit City,
31.03.2025,Moses,"0,20€","145,81 €","729,1",Outsourced,Nolimit City,
13.04.2025,Moses,"2,00€","1.014,00 €","507,0",Octo Attack,Hacksaw Gaming,
19.04.2025,Moses,"0,80€","824,64 €","1030,8",Octo Attack,Hacksaw Gaming,
10.12.2024,Moses,"1,00€","676,90 €","676,9",Octo Attack,Hacksaw Gaming,
07.12.2024,Moses,"1,20€","281,40 €","234,5",Octo Attack,Hacksaw Gaming,
10.12.2024,Moses,"0,60€","177,24 €","295,4",Octo Attack,Hacksaw Gaming,
04.11.2024,Moses,"0,20€","126,06 €","630,3",Octo Attack,Hacksaw Gaming,
13.04.2025,Moses,"2,00€","109,40 €","54,7",Octo Attack,Hacksaw Gaming,
09.11.2024,Moses,"0,20€","191,80 €","959,0",Ninja Frog,Popi Play,
04.11.2024,Jonas,"0,20€","102,31 €","511,6",Nine to Five,Nolimit City,
04.11.2024,Moses,"0,60€","171,00 €","285,0",Mustang Trail,Pragmatic Play,
10.12.2024,Moses,"0,06€","367,32 €","6122,0",Munchies,Nolimit City,
05.12.2023,Robin,"0,20€","276,28 €","1381,4",Muertos Multiplier Megaways,Pragmatic Play,
28.07.2024,Planki,"0,20€","186,68 €","933,4",Muertos Multiplier Megaways,Pragmatic Play,https://fkivsk.hrqhregkxq.net/NxdcdCRz98,assets/img/mmm.avif
28.07.2024,Moses,"0,20€","186,68 €","933,4",Muertos Multiplier Megaways,Pragmatic Play,https://fkivsk.hrqhregkxq.net/NxdcdCRz98,assets/img/mmm.avif
14.09.2025,Domi,"3,20€","480,00€",150,Moster Superlanche,Pragmatic Play,
14.09.2025,Domi,"4,00€","560,80€","140,2",Monster Superlanche,Pragmatic Play,
24.10.2023,Robin,"0,20€","111,05 €","555,3",Monster Superlanche,Pragmatic Play,
05.11.2024,Moses,"0,20€","182,60 €","913,0",Misery Mining,Nolimit City,
27.03.2025,Moses,"0,06€","353,62 €","5893,7",Mental 2,Nolimit City,
13.04.2025,Moses,"0,40€","346,64 €","866,6",Mental 2,Nolimit City,
28.03.2025,Robin,"0,06€","335,54 €","5592,3",Mental 2,Nolimit City,
30.03.2025,Moses,"0,12€","227,01 €","1891,8",Mental 2,Nolimit City,
27.03.2025,Moses,"0,06€","201,74 €","3362,3",Mental 2,Nolimit City,
27.03.2025,Moses,"0,06€","140,10 €","2335,0",Mental 2,Nolimit City,
26.03.2025,Moses,"0,02€","134,17 €","6708,5",Mental 2,Nolimit City,
19.04.2025,Robin,"0,06€","103,56 €","1726,0",Mental 2,Nolimit City,
07.12.2024,Moses,"0,10€","2.209,13 €","22091,3",Mental,Nolimit City,
14.03.2025,Moses,"0,06€","838,47 €","13974,5",Mental,Nolimit City,
07.12.2024,Planki,"0,20€","812,00 €","4065,0",Mental,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudumarukumoubutodeturuesepu?device=desktop&language=de&replayId=zohugahaponiraheyakumudumarukumoubutodeturuesepu,assets/img/menatl.avif
11.12.2024,Moses,"0,07€","692,46 €","9680,0",Mental,Nolimit City,
30.03.2024,Planki,"1,40€","263,48 €","188,2",Mental,Nolimit City,https://nolimitcity.com/replay/ukibamuzusagisopubaradamupurutunopegokarororaziposokimime?device=desktop&language=de,assets/img/menatl.avif
13.04.2025,Moses,"0,60€","256,77 €","428,0",Mental,Nolimit City,
02.09.2024,Moses,"0,20€","242,80 €","1214,0",Mental,Nolimit City,
23.09.2024,Moses,"0,40€","180,16 €","450,4",Mental,Nolimit City,
05.11.2024,Moses,"0,20€","172,68 €","863,4",Mental,Nolimit City,
28.07.2024,Planki,"0,20€","103,04 €","515,2",Mental,Nolimit City,nolimitcity.com/replay/zohugahaponiraheyakumudesuyukabarotomudeiginerida
24.08.2025,Planki,"0,40€","694,00 €",1735,Mayan Stackways,Hacksaw Gaming, https://dhh68l6ktxf70.cloudfront.net/replay-manager/?roundid=12007082884657&partner=2942&language=de-de&channel=desktop,assets/img/maya.avif
10.12.2024,Moses,"0,60€","426,35 €","710,6",Mayan Stackways,Hacksaw Gaming,
25.10.2024,Moses,"0,10€","168,00 €","1680,0",Mayan Stackways,Hacksaw Gaming,
24.08.2025,Planki,"0,20€","302,20 €",1511,Madame Destiny,Pragmatic Play, https://www.pplink.social/4hUmsJhFz5,assets/img/mdm.avif
12.12.2024,Robin,"0,06€","192,82 €","3213,7",Mac & Cheese,Massive Studios,
09.05.2024,Moses,"0,20€","143,82 €","719,1",Lord of the Dunes,Octoplay,
28.03.2025,Moses,"0,40€","120,96 €","302,4",Life and Death,Hacksaw Gaming,
18.03.2024,Robin,"0,80€","149,78 €","187,2",Leprechaun's Vault,Play'n GO,
24.12.2023,Planki,"0,80€","497,40 €","621,8",Legion X,Nolimit City,https://nolimitcity.com/replay/ukibamuzusagisopubaradamupurutugebohonepazigamerinihuradu?device=desktop&language=de,assets/img/lgx.avif
10.12.2024,Moses,"0,12€","197,68 €","1647,3",Legion X,Nolimit City,
18.03.2024,Robin,"0,20€","118,08 €","590,4",Legion X,Nolimit City,
30.09.2024,Planki,"0,50€","178,50 €","357,0",Legacy of Dead,Play'n GO,
29.08.2025,Domi,"1,20€","698,88 €","582,4",Le Zeus,Hacksaw Gaming,
10.09.2025,Domi,"1,50€","467,76 €","311,8",Le Zeus,Hacksaw Gaming,
14.09.2025,Domi,"0,80€","306,80€","383,5",Le Zeus,Hacksaw Gaming,
08.09.2025,Moses,"0,40€","288,08 €","720,2",Le Zeus,Hacksaw Gaming,
11.09.2025,Moses,"0,60€","283,80 €","473,0",Le Zeus,Hacksaw Gaming,
04.09.2025,Alex,"0,60€","178,62 €","297,7",Le Zeus,Hacksaw Gaming,
11.09.2025,Moses,"0,40€","149,35 €","373,4",Le Zeus,Hacksaw Gaming,
29.08.2025,Domi,"1,20€","127,40 €","106,2",Le Zeus,Hacksaw Gaming,
08.09.2025,Moses,"1,00€","146,00 €","146,0",Le Viking,Hacksaw Gaming,
29.08.2025,Domi,"0,60€","130,20 €","217,0",Le Viking,Hacksaw Gaming,
06.11.2024,Moses,"0,20€","472,00 €","2360,0",Le Pharaoh,Hacksaw Gaming,
08.12.2024,Moses,"0,80€","264,80 €","331,0",Le Pharaoh,Hacksaw Gaming,
12.09.2025,Domi,"1,20€","179,16 €","149,3",Le Pharaoh,Hacksaw Gaming,
29.08.2025,Domi,"0,80€","160,48 €","200,6",Le Pharaoh,Hacksaw Gaming,
19.04.2025,Moses,"2,00€","128,00 €","64,0",Le Pharaoh,Hacksaw Gaming,
29.08.2025,Domi,"0,20€","270,96 €","1354,8",Le King,Hacksaw Gaming,
31.08.2025,Domi,"0,10€","226,93 €","2269,3",Le King,Hacksaw Gaming,
29.08.2025,Domi,"1,20€","192,60 €","160,5",Le King,Hacksaw Gaming,
26.04.2025,Moses,"0,40€","179,28 €","448,2",Le Bendit,Hacksaw Gaming,
12.03.2025,Moses,"0,20€","2.045,80 €","10229,0",Le Bandit,Hacksaw Gaming,
22.06.2024,Robin,"1,60€","1.004,80 €","628,0",Le Bandit,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=20302283066&partner=745&language=de-de&channel=desktop,assets/img/lb.avif
10.03.2024,Planki,"0,10€","894,27 €","8942,7",Le Bandit,Hacksaw Gaming,https://www.youtube.com/watch?v=N1YwYoToZ8w,assets/img/lb.avif
19.04.2025,Moses,"1,00€","536,45 €","536,5",Le Bandit,Hacksaw Gaming,
11.07.2025,Planki,"0,40€","490,76 €","1226,9",Le Bandit,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12006344769420&partner=2942&language=de-de&channel=desktop,assets/img/lb.avif
03.09.2024,Moses,"0,20€","368,40 €","1842,0",Le Bandit,Hacksaw Gaming,
19.04.2025,Moses,"1,00€","367,20 €","367,2",Le Bandit,Hacksaw Gaming,
22.08.2025,Domi,"0,40€","366,60 €","916,5",Le Bandit,Hacksaw Gaming,
05.11.2024,Moses,"0,40€","343,80 €","859,5",Le Bandit,Hacksaw Gaming,
28.08.2025,Domi,"0,10€","340,44 €","3404,4",Le Bandit,Hacksaw Gaming,
11.09.2025,Moses,"1,00€","339,70 €","339,7",Le Bandit,Hacksaw Gaming,
14.08.2024,Planki,"0,10€","334,38 €","3343,8",Le Bandit,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12000989870075&partner=2942&language=de,assets/img/lb.avif
13.04.2025,Moses,"0,40€","314,54 €","786,4",Le Bandit,Hacksaw Gaming,
18.08.2025,Domi,"0,10€","233,05 €","2330,5",Le Bandit,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","220,08 €","550,2",Le Bandit,Hacksaw Gaming,
13.04.2025,Moses,"1,80€","217,80 €","121,0",Le Bandit,Hacksaw Gaming,
28.03.2025,Robin,"0,40€","208,24 €","520,6",Le Bandit,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=18409422584&partner=745&language=de-de&channel=desktop,assets/img/lb.avif
18.08.2025,Domi,"0,10€","170,41 €","1704,1",Le Bandit,Hacksaw Gaming,
08.12.2024,Moses,"0,60€","170,38 €","284,0",Le Bandit,Hacksaw Gaming,
10.12.2024,Moses,"1,00€","150,10 €","150,1",Le Bandit,Hacksaw Gaming,
10.12.2024,Moses,"1,00€","140,70 €","140,7",Le Bandit,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","130,98 €","327,5",Le Bandit,Hacksaw Gaming,
29.08.2025,Domi,"1,00€","126,60 €","126,6",Le Bandit,Hacksaw Gaming,
19.04.2025,Moses,"0,60€","120,72 €","201,2",Le Bandit,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","114,72 €","286,8",Le Bandit,Hacksaw Gaming,
16.03.2025,Moses,"0,60€","112,12 €","186,9",Le Bandit,Hacksaw Gaming,
23.09.2024,Moses,"0,40€","107,96 €","269,9",King Carrot,Hacksaw Gaming,
02.09.2024,Robin,"0,20€","943,74 €","4718,7",Kenneth Must Die,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudetakepinihehidurutimamoyugu?device=desktop&language=de,assets/img/kmd.avif
08.12.2024,Moses,"0,04€","560,85 €","14021,3",Kenneth Must Die,Nolimit City,
10.12.2024,Moses,"0,04€","546,40 €","13660,0",Kenneth Must Die,Nolimit City,
04.11.2024,Moses,"0,20€","350,00 €","1750,0",Kenneth Must Die,Nolimit City,
13.04.2025,Moses,"0,20€","329,02 €","1645,1",Kenneth Must Die,Nolimit City,
10.12.2024,Moses,"0,04€","242,06 €","6051,5",Kenneth Must Die,Nolimit City,
02.09.2024,Robin,"0,20€","207,35 €","1036,8",Kenneth Must Die,Nolimit City,
27.03.2025,Moses,"0,04€","184,93 €","4623,3",Kenneth Must Die,Nolimit City,
02.10.2024,Robin,"0,20€","160,52 €","802,6",Kenneth Must Die,Nolimit City,
02.10.2024,Robin,"0,20€","160,52 €","802,6",Kenneth Must Die,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuduyugobahoosemupinidehizika?device=desktop&language=en&replayId=zohugahaponiraheyakumuduyugobahoosemupinidehizika,assets/img/kmd.avif
08.09.2024,Jonas,"0,20€","96,62 €","483,1",Kenneth Must Die,Nolimit City,
02.08.2024,Jonas,"0,20€","144,00 €","720,0",Katmandu X,Elk Studios,
08.09.2025,Moses,"2,00€","107,20 €","53,6",Immortal Desire,Hacksaw Gaming,
01.08.2024,Robin,"0,10€","281,33 €","2813,3",Hyde and Seek,Massive Studios,
28.08.2023,Robin,"0,20€","111,11 €","555,6",Honey Rush,Play'n GO,
15.03.2025,Moses,"0,06€","1.620,39 €","27006,5",Home of the Brave,Nolimit City,
11.09.2025,Moses,"0,10€","123,65 €","1236,5",Home of the Brave,Nolimit City,
13.04.2025,Moses,"1,60€","126,43 €","79,0",Hand of Anubis,Hacksaw Gaming,
08.09.2025,Moses,"0,80€","1.259,52 €","1574,4",Halls of Odin,Hacksaw Gaming,
11.03.2024,Fabi,"0,20€","153,06 €","765,3",Gritty Kitty of Nitropolis,Elk Studios,
12.03.2024,Robin,"0,20€","138,04 €","690,2",Gritty Kitty of Nitropolis,Elk Studios,
07.12.2024,Moses,"0,40€","551,40 €","1378,5",Gladiator Legends,Hacksaw Gaming,
08.12.2024,Moses,"1,40€","870,94 €","622,1",Get the Cheese!,Hacksaw Gaming,
11.09.2025,Moses,"6,00€","1.998,00 €","333,0",Gems Bonanza,Pragmatic Play,
01.01.2024,Robin,"0,40€","820,36 €","2050,9",Gems Bonanza,Pragmatic Play,https://replay.pragmaticplay.net/o1fa8HESfr,assets/img/gems.avif
07.06.2023,Jonas,"0,60€","400,00 €","666,7",Gems Bonanza,Pragmatic Play,
10.12.2023,Eltschgo,"0,40€","389,90 €","974,8",Gems Bonanza,Pragmatic Play,https://global.cdn4cloud.net/PBrM6X7bLK,assets/img/gems.avif
19.03.2025,Moses,"1,00€","120,30 €","120,3",Gems Bonanza,Pragmatic Play,
24.12.2023,Robin,"0,40€","111,16 €","277,9",Gems Bonanza,Pragmatic Play,https://replay.pragmaticplay.net/w8PVsCfP5L,assets/img/gems.avif
10.12.2023,Robin,"0,40€","109,42 €","273,6",Gems Bonanza,Pragmatic Play,https://replay.pragmaticplay.net/9CdlfF7MHI,assets/img/gems.avif
18.03.2024,Robin,"0,20€","106,18 €","530,9",Gems Bonanza,Pragmatic Play,https://replay.pragmaticplay.net/zTwR9qZfcS,assets/img/gems.avif
03.09.2024,Alex,"0,20€","87,71 €","438,6",Gems Bonanza,Pragmatic Play,https://fkivsk.hrqhregkxq.net/xWF9W3SKaa,assets/img/gems.avif
24.08.2025,Planki,"0,20€","299,11 €","1495,55",Gator Ways,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuhabokidapabipotogutirahenira?device=desktop&language=de,assets/img/gator.avif
04.09.2025,Alex,"0,60€","558,96 €","931,6",Gator Hunters,Nolimit City, https://nolimitcity.com/replay/zohugahaponiraheyakumuharutonayasegepinahoyogihoyu?device=desktop&lan,assets/img/gator.avif
11.09.2025,Moses,"0,20€","700,55 €","3502,8",Gator Hunter,Nolimit City,
19.04.2025,Moses,"0,20€","138,06 €","690,3",Gates of Olympus 1000: Super Scatter,Pragmatic Play,
07.12.2024,Moses,"6,00€","1.214,70 €","202,45",Gates of Olympus 1000 X-Mas,Pragmatic Play,
